"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STK39",8.79628263551221e-07,0.447595116301255,0.5,0.287,0.0321952740742382
"POU2F2",1.01321663818339e-06,-0.356688735263505,0.858,0.933,0.0370847421741504
"TMC8",1.03659295976101e-06,0.451856391983837,0.691,0.507,0.0379403389202129
"CD5",1.11382602856843e-06,0.369299379757529,0.256,0.067,0.040767146471633
"GIMAP4",1.31339949663225e-06,0.428915819869697,0.482,0.267,0.0480717349762369
"GIMAP5",1.38216310356556e-06,0.330480125202372,0.353,0.14,0.0505885517536032
"SYNE1",1.40236439788134e-06,0.528755932464793,0.63,0.433,0.0513279393268549
"ATP8B1",1.46326805368625e-06,-0.525859026923281,0.396,0.587,0.0535570740329706
"CD82",1.49646960109702e-06,-0.384082246214973,0.2,0.387,0.0547722838697518
"AIM2",1.5154080629994e-06,-0.335479100255324,0.127,0.287,0.0554654505138412
"LCP2",1.58698287372812e-06,0.405249515056854,0.865,0.707,0.058085160161323
"SAMHD1",1.63210809524955e-06,0.373225179842273,0.948,0.88,0.0597367883942289
"TBC1D9",1.63493400279931e-06,-0.583315348742202,0.422,0.587,0.0598402194364577
"IFT57",1.69207141324288e-06,-0.343223291733093,0.147,0.313,0.0619315057961028
"LDHB",1.8966679301217e-06,0.279052075277606,0.523,0.273,0.0694199429103844
"FHIT",2.08164941476426e-06,0.667464592172989,0.653,0.453,0.0761904502297868
"GNAQ",2.15530501813685e-06,0.36619064705313,0.941,0.893,0.0788863189688268
"SDK2",3.1082141562987e-06,-0.496980154673738,0.117,0.26,0.113763746334689
"SLCO3A1",3.17529340550031e-06,0.436449454097961,0.927,0.827,0.116218913934717
"PRKCB",3.38196801363089e-06,-0.352903412502798,0.985,0.967,0.123783411266904
"ETS1",3.61951305641035e-06,0.418059133388137,0.678,0.5,0.132477797377675
"LAPTM5",4.13581997135555e-06,-0.401088078345717,0.746,0.847,0.151375146771584
"EPB41L2",4.17442509311656e-06,-0.332600251029338,0.161,0.327,0.152788132833159
"FARP2",4.25538552349909e-06,-0.425447041312876,0.35,0.54,0.15575136554559
"KIAA0040",4.34118207951809e-06,-0.360444879174915,0.181,0.353,0.158891605292442
"PLCL1",5.3294532876169e-06,0.578266688922181,0.44,0.24,0.195063319780066
"HIPK1",5.47259907916764e-06,0.382678360345076,0.541,0.333,0.200302598896615
"SNX8",5.56191482271279e-06,-0.320727614669502,0.137,0.293,0.203571644426111
"LIME1",5.74759206218847e-06,0.313756500945621,0.3,0.113,0.21036761706816
"STT3B",6.08828290709517e-06,0.387601010105527,0.686,0.493,0.22283724268259
"ENOSF1",6.16352143341193e-06,0.424295904360684,0.326,0.147,0.22559104798431
"AL050309.1",6.52054638809369e-06,-0.399381599825707,0.137,0.293,0.238658518350617
"CCDC50",6.6484031607963e-06,-0.330123816155578,0.134,0.28,0.243338204088306
"FAU",6.87342941912783e-06,-0.437982474541156,0.933,0.94,0.251574390169498
"GNG2",7.03585319809358e-06,0.407546658014148,0.702,0.533,0.257519262903423
"RAP1GAP2",7.30755643210537e-06,0.436344011999839,0.849,0.747,0.267463872971489
"SLC9A3R1",7.31211546780663e-06,0.353852114606971,0.336,0.153,0.26763073823719
"LINC01550",7.87190472255159e-06,0.438266863161637,0.256,0.087,0.288119584750111
"MYO1E",7.91845004059078e-06,-0.471172872003621,0.27,0.447,0.289823189935663
"RHBDF2",8.03100144389428e-06,-0.425620225234581,0.521,0.667,0.293942683847974
"SNX25",8.9995539053763e-06,-0.34242257673868,0.194,0.36,0.329392672490678
"SLFN5",9.95415282402921e-06,0.370798426756869,0.464,0.26,0.364331947512293
"XBP1",1.02281505329534e-05,0.339503672851594,0.515,0.307,0.374360537656627
"TTC39B",1.06241302824972e-05,0.400694744844443,0.339,0.153,0.388853792469681
"STAT5B",1.07043391392959e-05,0.464838724635579,0.585,0.4,0.39178951683737
"PPP2R5C",1.09564799758594e-05,0.404743558908368,0.785,0.613,0.401018123596428
"CCDC32",1.20492494571903e-05,-0.402941706970028,0.187,0.347,0.441014579382621
"CCL5",1.28998342240822e-05,1.03187348810946,0.303,0.14,0.472146832435634
"LMBRD1",1.29345799244238e-05,-0.462672417832195,0.621,0.727,0.473418559813835
"GIMAP1",1.295434244689e-05,0.313320673180771,0.353,0.173,0.474141887898622
"ZNF609",1.30966213042565e-05,0.479390633964482,0.757,0.627,0.479349436357094
"ANK3",1.42618391607391e-05,0.659569597183537,0.588,0.407,0.521997575122213
"TRAF3",1.48735940932956e-05,-0.47022462751281,0.671,0.76,0.544388417408711
"SYTL3",1.49499780996303e-05,0.429865220362373,0.541,0.347,0.54718414842457
"NDUFAF6",1.49888747747356e-05,-0.335070139096452,0.236,0.407,0.548607805630098
"ACAP1",1.51415987556451e-05,0.304157406993509,0.601,0.433,0.554197656055368
"NAP1L4",1.51556711634256e-05,0.404451659342619,0.635,0.447,0.554712720252539
"SVIL",1.52704124951734e-05,0.435943162878246,0.678,0.473,0.55891236773584
"MED15",1.60327494452156e-05,0.343797256920248,0.601,0.407,0.586814662444335
"AGTPBP1",1.63738657971672e-05,0.389521310983121,0.917,0.84,0.599299862042117
"PCAT1",1.75439157025623e-05,0.51716804726507,0.384,0.2,0.642124858629482
"ZDHHC21",1.78997152116822e-05,-0.374719565360122,0.182,0.333,0.655147476462781
"LDLRAD4",1.80448343520787e-05,0.525295809590165,0.733,0.613,0.660458982120432
"MAN1C1",1.85765588526964e-05,0.420499480344895,0.331,0.147,0.679920630567543
"BTBD11",1.97317000398681e-05,0.480539212006067,0.371,0.187,0.722199953159213
"AC068587.4",2.16414478457729e-05,0.455097284311419,0.546,0.367,0.792098632603135
